Simbol;Denumire emisiune;ISIN;Emitent;Cod Fiscal / CUI;Nr. obligatiuni emise;Valoare nominala;Valoare emisiune;Data emisiune;Data listarii;Data maturitate;Numar cupoane;Convertibila;Benchmark;Tip;Sectiune bursa;Piata Principala;Categoria;Stare;Model tranzactionare;Lista pasi de pret
R2703AE;MINISTERUL FINANTELOR;ROFFXW47BSR5;MINISTERUL  FINANTELOR;8609468;826731;100;82673100;19.03.2025;20.03.2025;19.03.2027;2;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2704A;MINISTERUL FINANTELOR;ROFM5R7FQWV5;MINISTERUL  FINANTELOR;8609468;3783537;100;378353700;22.04.2024;23.04.2024;22.04.2027;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2704AE;MINISTERUL FINANTELOR;ROSSLQ9LCF50;MINISTERUL  FINANTELOR;8609468;427883;100;42788300;16.04.2025;17.04.2025;16.04.2027;2;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2707A;MINISTERUL FINANTELOR;ROW93W0GN3L9;MINISTERUL  FINANTELOR;8609468;3131435;100;313143500;03.07.2024;04.07.2024;03.07.2027;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2712B;MINISTERUL FINANTELOR;ROX3J77OFL16;MINISTERUL  FINANTELOR;8609468;1602686;100;160268600;23.12.2024;27.12.2024;23.12.2027;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2802A;MINISTERUL FINANTELOR;ROOBSYD57S94;MINISTERUL  FINANTELOR;8609468;3196119;100;319611900;19.02.2025;20.02.2025;19.02.2028;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2803A;MINISTERUL FINANTELOR;RO9PPT8AXOV1;MINISTERUL  FINANTELOR;8609468;2094368;100;209436800;19.03.2025;20.03.2025;19.03.2028;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2804A;MINISTERUL FINANTELOR;ROL18FQB3YR2;MINISTERUL  FINANTELOR;8609468;1490625;100;149062500;16.04.2025;17.04.2025;15.04.2028;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2804AE;MINISTERUL FINANTELOR;ROTDI264MAU5;MINISTERUL  FINANTELOR;8609468;2747339;100;274733900;13.04.2023;18.04.2023;13.04.2028;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2808AE;MINISTERUL FINANTELOR;ROKZLUKMGN59;MINISTERUL  FINANTELOR;8609468;2105838;100;210583800;02.08.2023;03.08.2023;02.08.2028;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
